"module name","license","repository"
"@alloc/quick-lru@5.2.0","MIT","https://github.com/sindresorhus/quick-lru"
"@babel/helper-string-parser@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.28.5","MIT","https://github.com/babel/babel"
"@babel/parser@7.28.6","MIT","https://github.com/babel/babel"
"@babel/types@7.28.6","MIT","https://github.com/babel/babel"
"@esbuild/win32-x64@0.21.5","MIT","https://github.com/evanw/esbuild"
"@jridgewell/gen-mapping@0.3.13","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/resolve-uri@3.1.2","MIT","https://github.com/jridgewell/resolve-uri"
"@jridgewell/sourcemap-codec@1.5.5","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/trace-mapping@0.3.31","MIT","https://github.com/jridgewell/sourcemaps"
"@nodelib/fs.scandir@2.1.5","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.scandir"
"@nodelib/fs.stat@2.0.5","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.stat"
"@nodelib/fs.walk@1.2.8","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.walk"
"@primeuix/styled@0.7.4","MIT","https://github.com/primefaces/primeuix"
"@primeuix/styles@2.0.3","MIT","https://github.com/primefaces/primeuix"
"@primeuix/themes@1.2.5","MIT","https://github.com/primefaces/primeuix"
"@primeuix/utils@0.6.4","MIT","https://github.com/primefaces/primeuix"
"@primevue/core@4.5.4","MIT","https://github.com/primefaces/primevue"
"@primevue/icons@4.5.4","MIT","https://github.com/primefaces/primevue"
"@rollup/rollup-win32-x64-gnu@4.57.1","MIT","https://github.com/rollup/rollup"
"@rollup/rollup-win32-x64-msvc@4.57.1","MIT","https://github.com/rollup/rollup"
"@types/estree@1.0.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@vitejs/plugin-vue@5.2.4","MIT","https://github.com/vitejs/vite-plugin-vue"
"@vue/compiler-core@3.5.27","MIT","https://github.com/vuejs/core"
"@vue/compiler-dom@3.5.27","MIT","https://github.com/vuejs/core"
"@vue/compiler-sfc@3.5.27","MIT","https://github.com/vuejs/core"
"@vue/compiler-ssr@3.5.27","MIT","https://github.com/vuejs/core"
"@vue/devtools-api@6.6.4","MIT","https://github.com/vuejs/vue-devtools"
"@vue/reactivity@3.5.27","MIT","https://github.com/vuejs/core"
"@vue/runtime-core@3.5.27","MIT","https://github.com/vuejs/core"
"@vue/runtime-dom@3.5.27","MIT","https://github.com/vuejs/core"
"@vue/server-renderer@3.5.27","MIT","https://github.com/vuejs/core"
"@vue/shared@3.5.27","MIT","https://github.com/vuejs/core"
"any-promise@1.3.0","MIT","https://github.com/kevinbeaty/any-promise"
"anymatch@3.1.3","ISC","https://github.com/micromatch/anymatch"
"arg@5.0.2","MIT","https://github.com/vercel/arg"
"asynckit@0.4.0","MIT","https://github.com/alexindigo/asynckit"
"autoprefixer@10.4.24","MIT","https://github.com/postcss/autoprefixer"
"axios@1.13.4","MIT","https://github.com/axios/axios"
"baseline-browser-mapping@2.9.19","Apache-2.0","https://github.com/web-platform-dx/baseline-browser-mapping"
"binary-extensions@2.3.0","MIT","https://github.com/sindresorhus/binary-extensions"
"braces@3.0.3","MIT","https://github.com/micromatch/braces"
"browserslist@4.28.1","MIT","https://github.com/browserslist/browserslist"
"call-bind-apply-helpers@1.0.2","MIT","https://github.com/ljharb/call-bind-apply-helpers"
"camelcase-css@2.0.1","MIT","https://github.com/stevenvachon/camelcase-css"
"caniuse-lite@1.0.30001769","CC-BY-4.0","https://github.com/browserslist/caniuse-lite"
"chokidar@3.6.0","MIT","https://github.com/paulmillr/chokidar"
"combined-stream@1.0.8","MIT","https://github.com/felixge/node-combined-stream"
"commander@4.1.1","MIT","https://github.com/tj/commander.js"
"cssesc@3.0.0","MIT","https://github.com/mathiasbynens/cssesc"
"csstype@3.2.3","MIT","https://github.com/frenic/csstype"
"delayed-stream@1.0.0","MIT","https://github.com/felixge/node-delayed-stream"
"didyoumean@1.2.2","Apache-2.0","https://github.com/dcporter/didyoumean.js"
"dlv@1.1.3","MIT","https://github.com/developit/dlv"
"dunder-proto@1.0.1","MIT","https://github.com/es-shims/dunder-proto"
"electron-to-chromium@1.5.286","ISC","https://github.com/kilian/electron-to-chromium"
"entities@7.0.1","BSD-2-Clause","https://github.com/fb55/entities"
"es-define-property@1.0.1","MIT","https://github.com/ljharb/es-define-property"
"es-errors@1.3.0","MIT","https://github.com/ljharb/es-errors"
"es-object-atoms@1.1.1","MIT","https://github.com/ljharb/es-object-atoms"
"es-set-tostringtag@2.1.0","MIT","https://github.com/es-shims/es-set-tostringtag"
"esbuild@0.21.5","MIT","https://github.com/evanw/esbuild"
"escalade@3.2.0","MIT","https://github.com/lukeed/escalade"
"estree-walker@2.0.2","MIT","https://github.com/Rich-Harris/estree-walker"
"fast-glob@3.3.3","MIT","https://github.com/mrmlnc/fast-glob"
"fastq@1.20.1","ISC","https://github.com/mcollina/fastq"
"fdir@6.5.0","MIT","https://github.com/thecodrr/fdir"
"fill-range@7.1.1","MIT","https://github.com/jonschlinkert/fill-range"
"follow-redirects@1.15.11","MIT","https://github.com/follow-redirects/follow-redirects"
"form-data@4.0.5","MIT","https://github.com/form-data/form-data"
"fraction.js@5.3.4","MIT","https://github.com/rawify/Fraction.js"
"function-bind@1.1.2","MIT","https://github.com/Raynos/function-bind"
"get-intrinsic@1.3.0","MIT","https://github.com/ljharb/get-intrinsic"
"get-proto@1.0.1","MIT","https://github.com/ljharb/get-proto"
"glob-parent@5.1.2","ISC","https://github.com/gulpjs/glob-parent"
"glob-parent@6.0.2","ISC","https://github.com/gulpjs/glob-parent"
"gopd@1.2.0","MIT","https://github.com/ljharb/gopd"
"has-symbols@1.1.0","MIT","https://github.com/inspect-js/has-symbols"
"has-tostringtag@1.0.2","MIT","https://github.com/inspect-js/has-tostringtag"
"hasown@2.0.2","MIT","https://github.com/inspect-js/hasOwn"
